id,title,hotelstars,timezone,price,duration,climate,country,countryId,temperatura,landscape,type,transport,cluster
270,W orientalny deseń,0.25,1.0,0.4982046678635548,0.8571428571428572,Monsunowy,Tajlandia,1.0,0.47619047619047605,0.125,0.5,1.0,16
271,Bambusowe łodzie Złotego Buddy,0.25,1.0,0.49470377019748657,1.0,Monsunowy,Tajlandia,1.0,0.47619047619047605,0.125,0.5,1.0,16
272,Smak Orientu,0.25,0.7142857142857143,0.14470377019748656,0.14285714285714285,Kontynentalny,Turcja,0.46875,0.47619047619047605,0.125,0.5,1.0,3
273,Wyprawa po słońce,0.25,0.5714285714285714,0.09596050269299822,0.35714285714285715,Śródziemnomorski,Włochy,0.375,0.2857142857142856,1.0,0.5,1.0,8
274,Gorący Neapol,0.25,0.5714285714285714,0.13186714542190306,0.42857142857142855,Śródziemnomorski,Włochy,0.375,0.2857142857142856,1.0,0.5,1.0,8
275,Wenecja,0.25,0.5714285714285714,0.16696588868940757,0.14285714285714285,Śródziemnomorski,Włochy,0.375,0.2857142857142856,1.0,0.5,1.0,8
276,Pod sloncem Kampanii,0.25,0.5714285714285714,0.17881508078994615,0.42857142857142855,Śródziemnomorski,Włochy,0.375,0.2857142857142856,0.875,0.5,1.0,8
277,Spacer po mieście Nesebyr,0.25,0.6428571428571428,0.1921903052064632,0.7857142857142856,Kontynentalny,Bułgaria,0.25,0.4285714285714284,0.75,0.5,1.0,18
278,Hotel Grand Blue Fafa,0.75,0.6428571428571428,0.3734290843806104,0.42857142857142855,Śródziemnomorski,Albania,0.5,0.38095238095238093,0.25,0.0,1.0,6
279,Hotel Grand Blue Fafa,0.75,0.6428571428571428,0.6373429084380611,0.9285714285714286,Śródziemnomorski,Albania,0.5,0.38095238095238093,0.25,0.0,1.0,5
280,Hotel Andon Lapa,0.5,0.6428571428571428,0.19120287253141832,0.42857142857142855,Śródziemnomorski,Albania,0.5,0.38095238095238093,0.25,0.0,1.0,13
281,Perly Albanii,0.25,0.5714285714285714,0.22450628366247757,0.49999999999999994,Śródziemnomorski,Albania,0.5,0.38095238095238093,0.125,0.5,1.0,3
282,Hotel Hubertus,0.25,0.5714285714285714,0.11759425493716338,0.2857142857142857,Kontynentalny,Austria,0.0625,0.23809523809523814,0.75,1.0,0.0,2
283,Hotel Kolmhof,0.5,0.5714285714285714,0.17324955116696591,0.2857142857142857,Kontynentalny,Austria,0.0625,0.23809523809523814,0.75,1.0,0.0,2
284,Z widokiem na Czarnobyl,0.25,0.7142857142857143,0.15556552962298026,0.2857142857142857,Kontynentalny,Białoruś,0.125,0.04761904761904745,0.875,0.5,1.0,8
285,Primorsko Del Sol,0.5,0.6428571428571428,0.1872531418312388,0.42857142857142855,Kontynentalny,Bułgaria,0.25,0.4285714285714284,0.125,0.0,1.0,13
286,Południowa Bułgaria,0.25,0.6428571428571428,0.1491023339317774,0.42857142857142855,Kontynentalny,Bułgaria,0.25,0.4285714285714284,0.75,0.5,1.0,8
287,Czeski dwutakt,0.25,0.5714285714285714,0.06903052064631957,0.14285714285714285,Kontynentalny,Czechy,0.15625,0.19047619047619047,1.0,0.5,1.0,8
288,Hotel Barceló Castillo Beach Resort,0.5,0.5714285714285714,0.2755834829443447,0.42857142857142855,Kontynentalny,Hiszpania,0.40625,0.5238095238095237,0.125,0.0,1.0,13
